City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Punta Arenas,CL,2020-05-12 21:59:33,-53.15,-70.92,41.0,65,53,13.87,broken clouds,0,0
1,Saint-Philippe,RE,2020-05-12 21:58:12,-21.36,55.77,68.0,68,84,3.36,broken clouds,0,0
2,Bethel,US,2020-05-12 21:59:33,41.37,-73.41,55.4,20,20,12.75,few clouds,0,0
3,Rikitea,PF,2020-05-12 21:59:34,-23.12,-134.97,74.37,67,0,3.13,clear sky,0,0
4,Jamestown,US,2020-05-12 21:56:31,42.1,-79.24,48.0,45,90,21.92,overcast clouds,0,0
5,Alice Springs,AU,2020-05-12 21:58:48,-23.7,133.88,41.0,38,0,4.7,clear sky,0,0
6,Vaini,TO,2020-05-12 21:59:34,-21.2,-175.2,77.0,78,20,6.93,few clouds,0,0
7,Pahrump,US,2020-05-12 21:59:34,36.21,-115.98,80.01,20,0,11.01,clear sky,0,0
8,Bluff,NZ,2020-05-12 21:59:34,-46.6,168.33,44.51,84,5,8.08,clear sky,0,0
9,Port Alfred,ZA,2020-05-12 21:59:34,-33.59,26.89,64.0,88,100,7.0,overcast clouds,0,0
10,Clonakilty,IE,2020-05-12 21:59:35,51.62,-8.87,46.4,65,20,3.36,few clouds,0,0
11,Hermanus,ZA,2020-05-12 21:59:35,-34.42,19.23,51.01,95,19,9.55,few clouds,0,0
12,Puerto Narino,CO,2020-05-12 21:59:35,-3.77,-70.38,78.8,94,75,2.24,broken clouds,0,0
13,Itaqui,BR,2020-05-12 21:59:35,-29.13,-56.55,67.57,97,100,9.1,light rain,0,0
14,Atuona,PF,2020-05-12 21:59:35,-9.8,-139.03,79.97,73,26,18.14,scattered clouds,0,0
15,Puerto Ayora,EC,2020-05-12 21:59:35,-0.74,-90.35,87.8,58,20,18.34,few clouds,0,0
16,Pasir Mas,MY,2020-05-12 21:59:35,6.05,102.14,82.4,83,20,3.36,few clouds,0,0
17,Pisco,PE,2020-05-12 21:59:36,-13.7,-76.22,73.4,64,10,16.11,clear sky,0,0
18,Mataura,NZ,2020-05-12 21:59:36,-46.19,168.86,43.74,79,52,1.86,broken clouds,0,0
19,Yellowknife,CA,2020-05-12 21:57:42,62.46,-114.35,42.8,60,20,23.04,few clouds,0,0
20,Barrow,US,2020-05-12 21:55:01,71.29,-156.79,24.8,73,1,27.51,clear sky,0,0
21,Kapaa,US,2020-05-12 21:59:36,22.08,-159.32,80.6,65,20,13.87,few clouds,0,0
22,Hithadhoo,MV,2020-05-12 21:59:37,-0.6,73.08,84.27,77,100,11.43,light rain,0,0
23,Coquimbo,CL,2020-05-12 21:59:37,-29.95,-71.34,59.0,67,20,3.36,few clouds,0,0
24,Omsukchan,RU,2020-05-12 21:59:37,62.53,155.8,31.33,96,79,7.09,broken clouds,0,0
25,Yining,CN,2020-05-12 21:59:37,29.04,114.56,60.4,72,100,1.43,overcast clouds,0,0
26,Marzuq,YE,2020-05-12 21:59:37,14.4,46.47,81.36,32,25,3.65,scattered clouds,0,0
27,Izyum,UA,2020-05-12 21:59:37,49.21,37.25,54.57,92,88,8.21,light rain,0,0
28,Albany,US,2020-05-12 21:55:11,42.6,-73.97,50.0,24,63,1.01,broken clouds,0,0
29,Dickinson,US,2020-05-12 21:59:24,29.46,-95.05,82.4,58,75,12.75,broken clouds,0,0
30,Nikolskoye,RU,2020-05-12 21:59:38,59.7,30.79,41.0,74,100,6.71,overcast clouds,0,0
31,Fort Nelson,CA,2020-05-12 21:59:38,58.81,-122.7,66.2,20,75,5.82,broken clouds,0,0
32,Esperance,AU,2020-05-12 21:59:38,-33.87,121.9,48.2,87,43,9.17,scattered clouds,0,0
33,Clyde River,CA,2020-05-12 21:58:11,70.47,-68.59,19.4,92,90,18.34,overcast clouds,0,0
34,Richards Bay,ZA,2020-05-12 21:59:39,-28.78,32.04,65.35,91,45,5.73,scattered clouds,0,0
35,West Odessa,US,2020-05-12 21:59:39,31.84,-102.5,89.6,30,1,9.17,clear sky,0,0
36,Lorengau,PG,2020-05-12 21:59:39,-2.02,147.27,79.2,86,100,6.8,light rain,0,0
37,Guiratinga,BR,2020-05-12 21:59:39,-16.35,-53.76,74.77,70,27,3.11,scattered clouds,0,0
38,Palana,RU,2020-05-12 21:59:39,59.12,159.97,30.56,100,65,2.42,broken clouds,0,0
39,Iqaluit,CA,2020-05-12 21:59:40,63.75,-68.51,28.4,79,90,25.28,light snow,0,0
40,Cidreira,BR,2020-05-12 21:54:58,-30.18,-50.21,66.69,97,100,8.59,light rain,0,0
41,Shimonoseki,JP,2020-05-12 21:59:40,33.95,130.95,62.6,63,20,13.87,few clouds,0,0
42,Kajaani,FI,2020-05-12 21:59:40,64.23,27.73,28.4,86,14,3.36,few clouds,0,0
43,Kraksaan,ID,2020-05-12 21:56:43,-7.76,113.4,78.13,77,28,6.11,scattered clouds,0,0
44,Longyearbyen,SJ,2020-05-12 21:58:53,78.22,15.64,23.0,92,90,13.87,snow,0,0
45,Gulu,UG,2020-05-12 21:59:41,2.77,32.3,65.84,94,100,2.06,light rain,0,0
46,Lavrentiya,RU,2020-05-12 21:59:41,65.58,-171.0,33.35,94,100,1.57,overcast clouds,0,0
47,Sola,VU,2020-05-12 21:59:41,-13.88,167.55,80.6,78,75,5.82,broken clouds,0,0
48,Namatanai,PG,2020-05-12 21:59:41,-3.67,152.43,78.49,86,100,5.39,light rain,0,0
49,Moroni,KM,2020-05-12 21:59:41,-11.7,43.26,79.27,76,32,9.04,scattered clouds,0,0
50,Butaritari,KI,2020-05-12 21:59:41,3.07,172.79,83.43,80,52,16.6,light rain,0,0
51,Kruisfontein,ZA,2020-05-12 21:58:51,-34.0,24.73,61.14,83,100,18.95,overcast clouds,0,0
52,Carnarvon,AU,2020-05-12 21:59:42,-24.87,113.63,70.07,36,0,10.45,clear sky,0,0
53,Pangnirtung,CA,2020-05-12 21:59:42,66.15,-65.71,41.0,60,75,20.8,broken clouds,0,0
54,Cape Town,ZA,2020-05-12 21:59:42,-33.93,18.42,59.0,72,20,8.05,few clouds,0,0
55,Jiangyou,CN,2020-05-12 21:59:42,31.77,104.72,62.29,52,100,2.8,overcast clouds,0,0
56,Busselton,AU,2020-05-12 21:59:42,-33.65,115.33,53.01,63,62,7.94,broken clouds,0,0
57,Tilichiki,RU,2020-05-12 21:59:42,60.47,166.1,31.75,99,66,4.54,broken clouds,0,0
58,Praya,CV,2020-05-12 21:55:49,14.92,-23.51,73.4,73,40,18.34,scattered clouds,0,0
59,Saldanha,ZA,2020-05-12 21:59:43,-33.01,17.94,55.4,82,46,3.36,scattered clouds,0,0
60,Tuatapere,NZ,2020-05-12 21:59:43,-46.13,167.68,43.83,63,0,4.56,clear sky,0,0
61,Margate,GB,2020-05-12 21:59:43,51.38,1.39,50.0,60,16,1.01,few clouds,0,0
62,Naze,JP,2020-05-12 21:59:43,28.37,129.48,69.8,68,20,9.17,few clouds,0,0
63,Avarua,CK,2020-05-12 21:59:43,-21.21,-159.78,80.6,88,45,5.82,scattered clouds,0,0
64,Yar-Sale,RU,2020-05-12 21:59:43,66.83,70.83,35.94,98,100,5.01,overcast clouds,0,0
65,Khatanga,RU,2020-05-12 21:59:43,71.97,102.5,13.64,96,21,6.42,few clouds,0,0
66,Povenets,RU,2020-05-12 21:59:44,62.85,34.83,36.41,80,98,6.04,overcast clouds,0,0
67,Hobart,AU,2020-05-12 21:58:27,-42.88,147.33,48.0,65,40,11.41,scattered clouds,0,0
68,Huntley,US,2020-05-12 21:59:44,42.17,-88.43,61.0,33,72,1.99,broken clouds,0,0
69,Geraldton,AU,2020-05-12 21:58:21,-28.77,114.6,62.6,48,14,14.99,few clouds,0,0
70,Ushuaia,AR,2020-05-12 21:59:35,-54.8,-68.3,41.0,88,40,35.57,scattered clouds,0,0
71,East London,ZA,2020-05-12 21:58:36,-33.02,27.91,68.79,75,100,11.5,overcast clouds,0,0
72,Mar Del Plata,AR,2020-05-12 21:59:44,-38.0,-57.56,57.0,71,100,9.17,overcast clouds,0,0
73,Minab,IR,2020-05-12 21:59:44,27.15,57.08,80.6,69,0,9.17,clear sky,0,0
74,Aykhal,RU,2020-05-12 21:59:45,66.0,111.5,21.2,85,90,11.18,light shower snow,0,0
75,Mount Gambier,AU,2020-05-12 21:59:45,-37.83,140.77,39.2,100,20,5.82,few clouds,0,0
76,Santa Engracia,ES,2020-05-12 21:59:45,41.94,-1.32,59.0,87,90,4.7,moderate rain,0,0
77,Fortuna,US,2020-05-12 21:59:45,40.6,-124.16,61.0,72,75,10.29,broken clouds,0,0
78,Mahebourg,MU,2020-05-12 21:59:45,-20.41,57.7,73.4,60,40,8.05,scattered clouds,0,0
79,Zhangjiakou,CN,2020-05-12 21:57:41,40.81,114.88,55.62,33,0,2.51,clear sky,0,0
80,Kenai,US,2020-05-12 21:59:45,60.55,-151.26,50.0,61,75,6.93,broken clouds,0,0
81,Teya,RU,2020-05-12 21:59:46,60.38,92.63,39.87,72,61,4.9,broken clouds,0,0
82,Carutapera,BR,2020-05-12 21:59:46,-1.2,-46.02,77.92,91,100,6.76,light rain,0,0
83,Torbay,CA,2020-05-12 21:59:46,47.67,-52.73,46.99,100,90,21.92,mist,0,0
84,Skjervoy,NO,2020-05-12 21:59:46,70.03,20.97,33.69,88,100,22.46,light snow,0,0
85,Mount Isa,AU,2020-05-12 21:59:46,-20.73,139.5,62.6,25,59,1.12,broken clouds,0,0
86,Upernavik,GL,2020-05-12 21:59:46,72.79,-56.15,38.21,77,44,0.94,scattered clouds,0,0
87,Maniitsoq,GL,2020-05-12 21:59:46,65.42,-52.9,38.32,94,100,9.31,overcast clouds,0,0
88,Klaebu,NO,2020-05-12 21:59:47,63.3,10.48,34.0,95,75,9.17,shower rain,0,0
89,Cap Malheureux,MU,2020-05-12 21:59:47,-19.98,57.61,72.0,70,42,5.01,scattered clouds,0,0
90,Glendive,US,2020-05-12 21:59:47,47.11,-104.71,41.0,93,90,18.34,light rain,0,0
91,Saskylakh,RU,2020-05-12 21:59:47,71.92,114.08,24.42,97,98,13.6,light snow,0,0
92,Ugoofaaru,MV,2020-05-12 21:59:47,5.67,73.0,84.85,72,43,4.79,scattered clouds,0,0
93,Timbiqui,CO,2020-05-12 21:59:47,2.77,-77.67,79.32,90,89,7.05,moderate rain,0,0
94,Bengkulu,ID,2020-05-12 21:59:47,-3.8,102.27,77.68,80,94,3.91,overcast clouds,0,0
95,Cabedelo,BR,2020-05-12 21:59:48,-6.98,-34.83,78.8,88,40,4.7,scattered clouds,0,0
96,Vila Franca Do Campo,PT,2020-05-12 21:59:48,37.72,-25.43,61.0,71,40,3.36,scattered clouds,0,0
97,Ginda,IN,2020-05-12 21:59:48,30.69,78.49,56.34,41,92,6.4,overcast clouds,0,0
98,Provideniya,RU,2020-05-12 21:59:48,64.38,-173.3,44.6,70,100,4.47,overcast clouds,0,0
99,The Valley,AI,2020-05-12 21:59:48,18.22,-63.06,84.2,66,20,12.75,few clouds,0,0
100,Hilo,US,2020-05-12 21:59:48,19.73,-155.09,82.4,61,75,5.82,broken clouds,0,0
101,Poya,NC,2020-05-12 21:59:48,-21.35,165.15,72.12,58,45,7.45,scattered clouds,0,0
102,Windhoek,NA,2020-05-12 21:58:27,-22.56,17.08,59.0,37,45,2.24,scattered clouds,0,0
103,Hambantota,LK,2020-05-12 21:58:46,6.12,81.12,79.48,78,100,5.17,overcast clouds,0,0
104,Bredasdorp,ZA,2020-05-12 21:59:49,-34.53,20.04,57.2,82,40,16.11,scattered clouds,0,0
105,Sao Felix Do Xingu,BR,2020-05-12 21:59:49,-6.64,-51.99,76.6,83,1,2.66,clear sky,0,0
106,San Cristobal,VE,2020-05-12 21:59:49,7.77,-72.22,91.4,52,40,12.75,haze,0,0
107,Shubarkuduk,KZ,2020-05-12 21:59:49,49.14,56.49,51.06,69,12,3.42,few clouds,0,0
108,Sillod,IN,2020-05-12 21:59:50,20.3,75.65,83.75,27,52,4.68,broken clouds,0,0
