City_ID,City,Country,Max Temp,description,Lat,Lng,Hotel Name
1,Saint-Philippe,RE,68.0,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
2,Bethel,US,55.4,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
3,Rikitea,PF,74.37,clear sky,-23.12,-134.97,Pension Maro'i
9,Port Alfred,ZA,64.0,overcast clouds,-33.59,26.89,The Halyards Hotel
13,Itaqui,BR,67.57,light rain,-29.13,-56.55,Biasi
17,Pisco,PE,73.4,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
23,Coquimbo,CL,59.0,few clouds,-29.95,-71.34,Hotel San Juan
25,Yining,CN,60.4,overcast clouds,29.04,114.56,Xiushui Hotel
31,Fort Nelson,CA,66.2,broken clouds,58.81,-122.7,The Fort Nelson Hotel
34,Richards Bay,ZA,65.35,scattered clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
37,Guiratinga,BR,74.77,scattered clouds,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
40,Cidreira,BR,66.69,light rain,-30.18,-50.21,Novomar Pousada e Turismo Ltda
41,Shimonoseki,JP,62.6,few clouds,33.95,130.95,Toyoko INN Shimonoseki Kaikyo Yume Tower mae
45,Gulu,UG,65.84,light rain,2.77,32.3,ACHOLI INN
51,Kruisfontein,ZA,61.14,overcast clouds,-34.0,24.73,Oyster Bay House Rental
52,Carnarvon,AU,70.07,clear sky,-24.87,113.63,Hospitality Carnarvon
54,Cape Town,ZA,59.0,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
55,Jiangyou,CN,62.29,overcast clouds,31.77,104.72,Shangping Shuyuan Inn
58,Praya,CV,73.4,scattered clouds,14.92,-23.51,LT Aparthotel
59,Saldanha,ZA,55.4,scattered clouds,-33.01,17.94,Blue Bay Lodge
62,Naze,JP,69.8,few clouds,28.37,129.48,奄美ポートタワーホテル
68,Huntley,US,61.0,broken clouds,42.17,-88.43,Suites On Main
69,Geraldton,AU,62.6,few clouds,-28.77,114.6,Broadwater Mariner Resort
71,East London,ZA,68.79,overcast clouds,-33.02,27.91,Tu Casa
72,Mar Del Plata,AR,57.0,overcast clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
76,Santa Engracia,ES,59.0,moderate rain,41.94,-1.32,
77,Fortuna,US,61.0,broken clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
78,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
79,Zhangjiakou,CN,55.62,clear sky,40.81,114.88,Shell Zhangjiakou City Qiaodong District Ginza Hotel
85,Mount Isa,AU,62.6,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
89,Cap Malheureux,MU,72.0,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
96,Vila Franca Do Campo,PT,61.0,scattered clouds,37.72,-25.43,Pestana Bahia Praia
97,Ginda,IN,56.34,overcast clouds,30.69,78.49,Bherav Hotel Manpur
101,Poya,NC,72.12,scattered clouds,-21.35,165.15,
102,Windhoek,,59.0,scattered clouds,-22.56,17.08,Hotel Uhland
104,Bredasdorp,ZA,57.2,scattered clouds,-34.53,20.04,Bredasdorp Country Manor
109,Presidencia Roque Saenz Pena,AR,68.54,overcast clouds,-26.79,-60.44,Hotel Aconcagua
113,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
115,Oyem,GA,68.94,light rain,1.6,11.58,Commissariat de police
118,College,US,57.0,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
123,Haslett,US,57.2,clear sky,42.75,-84.4,Super 8 by Wyndham East Lansing/University Area
125,Celendin,PE,64.18,light rain,-6.87,-78.15,Villa Madrid
126,Saint Anthony,US,60.01,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
128,Mendi,PG,60.37,broken clouds,-6.18,143.65,Kiburu Lodge
134,Los Llanos De Aridane,ES,68.0,broken clouds,28.66,-17.92,Valle Aridane
136,Jining,CN,58.89,broken clouds,35.41,116.58,Yunhe Star Hotel
138,Lata,PT,59.0,few clouds,40.16,-8.33,Casa Maquia
140,Elizabeth City,US,66.0,few clouds,36.29,-76.25,Hampton Inn Elizabeth City
142,Vao,NC,71.89,clear sky,-22.67,167.48,Hotel Kou-Bugny
148,Mantua,IT,57.0,broken clouds,45.17,10.78,Hotel la Favorita
