City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2020-05-08 21:14:19,-46.6,168.33,51.21,76,79,12.91
1,Mataura,NZ,2020-05-08 21:14:20,-46.19,168.86,47.14,81,82,4.23
2,Punta Arenas,CL,2020-05-08 21:18:40,-53.15,-70.92,51.8,66,82,5.82
3,Menongue,AO,2020-05-08 21:20:07,-14.66,17.69,56.84,60,0,4.47
4,Barrow,US,2020-05-08 21:10:02,71.29,-156.79,19.4,85,90,14.99
5,Kapaa,US,2020-05-08 21:14:19,22.08,-159.32,78.8,61,20,16.11
6,Kabalo,CD,2020-05-08 21:15:42,-6.05,26.92,71.55,90,1,4.99
7,Saint George,US,2020-05-08 21:11:39,37.1,-113.58,84.99,5,1,1.63
8,Grand Gaube,MU,2020-05-08 21:13:21,-20.01,57.66,73.4,94,40,4.7
9,Viareggio,IT,2020-05-08 21:20:08,43.87,10.26,59.0,87,41,2.24
10,Atuona,PF,2020-05-08 21:18:51,-9.8,-139.03,81.0,76,67,18.34
11,Hobart,AU,2020-05-08 21:15:02,-42.88,147.33,51.8,93,75,3.94
12,Khatanga,RU,2020-05-08 21:10:18,71.97,102.5,20.59,93,100,20.29
13,Zhicheng,CN,2020-05-08 21:20:08,30.3,111.5,68.0,88,98,1.3
14,Lata,PT,2020-05-08 21:12:12,40.16,-8.33,63.0,77,91,3.22
15,Ilulissat,GL,2020-05-08 21:15:37,69.22,-51.1,32.0,85,99,8.05
16,Qaanaaq,GL,2020-05-08 21:14:22,77.48,-69.36,14.45,87,42,5.59
17,Hermanus,ZA,2020-05-08 21:14:19,-34.42,19.23,61.0,85,2,1.01
18,Hithadhoo,MV,2020-05-08 21:17:21,-0.6,73.08,85.19,78,100,16.69
19,Arraial Do Cabo,BR,2020-05-08 21:17:48,-22.97,-42.03,71.6,68,40,5.82
20,Jamestown,US,2020-05-08 21:18:42,42.1,-79.24,36.0,69,90,11.41
21,Ushuaia,AR,2020-05-08 21:14:14,-54.8,-68.3,44.6,93,40,3.36
22,Erzin,TR,2020-05-08 21:20:10,36.96,36.2,66.0,72,99,11.01
23,Busselton,AU,2020-05-08 21:14:27,-33.65,115.33,44.01,73,0,6.71
24,Berzovia,RO,2020-05-08 21:20:10,45.43,21.63,48.2,76,0,3.36
25,Mahebourg,MU,2020-05-08 21:17:44,-20.41,57.7,73.4,94,40,4.7
26,Wolgast,DE,2020-05-08 21:20:10,54.05,13.77,50.0,63,44,7.83
27,Parainen,FI,2020-05-08 21:20:11,60.31,22.3,43.0,93,20,4.7
28,Port Hedland,AU,2020-05-08 21:16:06,-20.32,118.57,71.6,53,20,9.17
29,Butembo,CD,2020-05-08 21:17:07,0.15,29.28,59.56,100,25,2.91
30,Ostrovnoy,RU,2020-05-08 21:15:28,68.05,39.51,33.28,93,99,4.74
31,Provideniya,RU,2020-05-08 21:18:50,64.38,-173.3,39.52,72,100,16.91
32,Rio Gallegos,AR,2020-05-08 21:18:19,-51.62,-69.22,53.6,66,0,9.17
33,Clyde River,CA,2020-05-08 21:18:13,70.47,-68.59,17.6,85,75,18.34
34,Torbay,CA,2020-05-08 21:17:45,47.67,-52.73,43.0,75,75,24.16
35,Upernavik,GL,2020-05-08 21:15:12,72.79,-56.15,22.12,88,97,8.03
36,Ust-Kuyga,RU,2020-05-08 21:20:12,70.02,135.6,27.5,97,100,3.04
37,Seoul,KR,2020-05-08 21:20:01,37.57,126.98,57.2,93,90,14.99
38,Natal,BR,2020-05-08 21:14:04,-5.79,-35.21,80.6,83,75,6.93
39,East London,ZA,2020-05-08 21:18:55,-33.02,27.91,68.77,79,74,6.4
40,Pacific Grove,US,2020-05-08 21:14:54,36.62,-121.92,84.0,63,1,5.82
41,Puerto Ayora,EC,2020-05-08 21:17:36,-0.74,-90.35,86.0,66,20,20.8
42,Thompson,CA,2020-05-08 21:18:47,55.74,-97.86,33.8,59,20,12.75
43,Arman,RU,2020-05-08 21:20:13,59.7,150.17,36.9,79,32,2.75
44,Abomey-Calavi,BJ,2020-05-08 21:20:13,6.45,2.36,86.0,79,40,10.29
45,Victoria,HK,2020-05-08 21:17:49,22.29,114.16,82.99,85,42,11.01
46,San Patricio,MX,2020-05-08 21:19:00,19.22,-104.7,84.2,74,20,17.22
47,Imbituba,BR,2020-05-08 21:17:24,-28.24,-48.67,69.8,60,0,8.05
48,Rikitea,PF,2020-05-08 21:18:39,-23.12,-134.97,75.65,70,34,7.25
49,Bohicon,BJ,2020-05-08 21:20:14,7.18,2.07,80.64,80,16,7.76
50,New Norfolk,AU,2020-05-08 21:18:39,-42.78,147.06,48.99,88,100,1.01
51,Namatanai,PG,2020-05-08 21:15:04,-3.67,152.43,81.1,73,0,4.03
52,Belaya Gora,RU,2020-05-08 21:20:14,68.53,146.42,31.93,97,94,10.78
53,Suez,EG,2020-05-08 21:20:14,29.97,32.53,70.75,51,0,21.56
54,Rocha,UY,2020-05-08 21:16:07,-34.48,-54.33,53.56,78,0,4.81
55,Catamarca,AR,2020-05-08 21:17:13,-28.47,-65.79,72.0,61,0,1.99
56,Sembe,CG,2020-05-08 21:20:15,1.65,14.58,73.13,88,100,1.52
57,Baglan,AF,2020-05-08 21:20:15,36.13,68.71,67.33,69,94,0.16
58,Myitkyina,MM,2020-05-08 21:15:46,25.38,97.4,72.23,66,1,1.9
59,Concordia,AR,2020-05-08 21:18:20,-31.39,-58.02,64.4,59,88,6.96
60,Puerto Penasco,MX,2020-05-08 21:20:15,31.32,-113.53,82.99,58,99,7.0
61,Bethel,US,2020-05-08 21:18:52,41.37,-73.41,44.01,87,90,5.86
62,Vaini,TO,2020-05-08 21:10:18,-21.2,-175.2,78.8,94,75,13.87
63,Along,IN,2020-05-08 21:20:16,28.17,94.77,59.77,81,5,2.39
64,Ribeira Grande,PT,2020-05-08 21:14:16,38.52,-28.7,60.8,87,75,23.04
